name,page_link
Вимэйд,/residents/vimeyd/
ВиПиАй Девелопмент Центр,/residents/vipiay-development-centr/
Виппи,/residents/vippi/
ВирусБлокАда,/residents/virusblokada/
ВМ Реплай,/residents/vm-replay/
Водород,/residents/vadarod/
Вонабай,/residents/vonabay/
Воннаплэй,/residents/vonnapley/
ВРГеймс паблишинг,/residents/vrgeyms-pablishing/
ВРТЭК,/residents/vrtek/
ВЭБ Технологии,/residents/veb-tehnologii/
Гамбино,/residents/gambino/
Гарни Аппс,/residents/garni-apps/
ГБСофт,/residents/gbsoft/
Гейм Стрим,/residents/geym-strim/
Геймбот,/residents/geymbot/
Геймвин,/residents/geymvin/
Геймматика,/residents/geymmatika/
Геймс Бенд,/residents/geyms-bend/
ГЕОМОТИВ,/residents/geomotiv/
Гетклин,/residents/getklin/
Гетпрофит,/residents/getprofit/
ГИК-СОЛЮШНС,/residents/gik-solyushns/
Гипернова,/residents/gipernova/
ГИС БЕЛСОФТ,/residents/gis-belsoft/
Гисмарт,/residents/gismart/
Глобант Бел,/residents/globant-bel/
Глобо-Центр,/residents/globo-tsentr/
ГлокСофт,/residents/gloksoft/
ГлориумТех Бел,/residents/gloriumtekh-bel/
ГЛОСС Бел Системс,/residents/gloss-bel-sistems/
ГлоуБайт Разработка,/residents/gloubayt-razrabotka/
Гмартикун,/residents/gmartikun/
Годел Текнолоджис Юроп,/residents/godel-teknolodjis-yurop/
Гризли Диджитал Компани,/residents/grizli-didzhital-kompani/
Грин АйТи,/residents/grin-ayti/
ГРЫМАЛА,/residents/grymala/
ГудГеймзСофт,/residents/gudgeymzsoft/
ГудСофт,/residents/gudsoft/
Гули ГЕЙМЗ,/residents/guli-geymz/
ГуртамСофт,/residents/flespi/
Д энд И сервис групп,/residents/d-end-i-servis-grupp/
Д8 Финансовые Технологии,/residents/d8-finansovye-tehnologii/
Дана Нетворкс,/residents/dana-netvorks/
Дата деливери,/residents/data-deliveri/
Дашбукет Девелопмент,/residents/dashbuket-development/
ДВИНН Девелопмент,/residents/dvinn-development/
Девелопмент Фэмили,/residents/development-femili/
ДЕВСТРИМ,/residents/devstrim/
Девхаб,/residents/devhab/
ДЕВХЭД,/residents/devhed/
ДЕИП Фаундейшн,/residents/deip-faundeyshn/
ДекСис,/residents/deksis/
Делай Дело,/residents/delay-delo/
Деливери софтвеа,/residents/DelivioSoftwear/
Делойт Диджитал,/residents/deloyt-didzhital/
Дельтатрэ,/residents/deltatre/
Дерив БАЙ,/residents/deriv-bay/
ДжазТим РнД,/residents/djaztim-rnd/
Джей Нетворкс,/residents/djey-netvorks/
Джейдевс,/residents/djeydevs/
Дженерал Софт,/residents/djeneral-soft/
Джерман Стандард,/residents/dzherman-standard/
Джет Би Ай,/residents/djet-bi-ay/
Джи-Кор Бел,/residents/dji-kor-bel/
Джи-Пи Солюшнс,/residents/dji-pi-solyushns/
ДжэйВиЭл Корпорэйшн,/residents/djeyviel-korporeyshn/
Дзеньги Ком,/residents/dzengi-com/
ДЗЭНСОФТ СОЛЮШЕН,/residents/dzensoft-solyushen/
ДиалМедиа,/residents/dialmedia/
Дигитеум,/residents/digiteum/
Диджитал Лайт Студио,/residents/didzhital-layt-studio/
Диджитализм,/residents/didjitalizm/
ДижиТек7,/residents/dijitek7/
Дизель Паппет,/residents/dizel-pappet/
Диззэйнтим,/residents/dizzeyntim/
Динамика Диджитал,/residents/dinamika-didjital/
Динево Софт,/residents/dinevo-soft/
Диннерсофт,/residents/dinnersoft/
ДЛТекст,/residents/dltekst/
Док Тайм,/residents/dok-taym/
Докфлоу Бел,/residents/dokflou-bel/
Дотмэйлер,/residents/dotmeyler/
ДрайвИТ,/residents/drayvit/
Дримтим Аппс,/residents/drimtim-apps/
Дримтим Девелопмент,/residents/drimtim-development/
Дуал Лаб Бел,/residents/dual-lab-bel/
Дух Инноваций,/residents/duh-innovaciy/
ДэвТим-Групп,/residents/devtim-grupp/
ДэйтаМола,/residents/deytamola/
ДЭМСОЛС,/residents/demsols/
Дэнс Платформ,/residents/dens-platform/
Е-Вижн,/residents/e-vijn/
Е-Инженирс БиУай,/residents/e-inzhenirs-biuay/
Е-ком Технологии,/residents/e-kom-tehnologii/
Евразийская процессинговая компания,/residents/evraziyskaya-processingovaya-kompaniya/
Егоров Эдженси,/residents/egorov-edjensi/
ЕМК Софт,/residents/emk-soft/
ЕРПБЕЛ,/residents/erpbel/
ЕсАйТи,/residents/esayti/
ЁСофт,/residents/yoursoft/
Жёлтый Квадрат,/residents/jeltyy-kvadrat/
Зе Вью,/residents/ze-vyu/
ЗЕНИЯ АИ,/residents/zeniya-ai/
Зеттех Девелопмент,/residents/zetteh-development/
Зефир Девелопмент,/residents/zefir-development/
Зорачка Софт,/residents/zorachka-soft/
ЗубрСофт,/residents/zubrsoft/
ЗУМОС,/residents/zumos/
ЗЭТПОИНТ АПП,/residents/zetpoint-app/
Иcсофт Солюшенз,/residents/issoft-solyushenz/
ИВА-Гомель-Парк,/residents/iva-gomel-park/
Ивашин,/residents/ivashin/
Игнайт Бел,/residents/ignayt-bel/
Игро Тэк,/residents/igro-tek/
Игры Разума Софт,/residents/igry-razuma-soft/
ИдеяСофт,/residents/ideyasoft/
Изибрэйн,/residents/izibreyn/
Изовак,/residents/izovak/
Изовак ДР,/residents/izovak-dr/
ИКомЧардж,/residents/ikomchardj/
Икс-футурум,/residents/iks-futurum/
ИксБи Софтваре,/residents/iksbi-softvare/
Иксван,/residents/iksvan/
ИКСПЭЙ,/residents/ikspey/
Иксталейт,/residents/ikstaleyt/
ИЛ-Тим Груп,/residents/il-tim-grup/
Илевн,/residents/ilevn/
Имбью Системз,/residents/imbyu-sistemz/
Инаиапп,/residents/inaiapp/
Инватекс Софтвер,/residents/invateks-softver/
ИнДата Лабс,/residents/indata-labs/
Индекс Зеро,/residents/indeks-zero/
Индиго Бантинг,/residents/indigo-banting/
ИнКата,/residents/inkata/
Инкогнио Текнолоджиз,/residents/incognio/
ИННЕРИКА,/residents/innerika/
Инновационный Софт,/residents/innovacionnyy-soft/
Инновейтив Фьюча,/residents/innoveytiv-fyucha/
ИнноТех Солюшнс,/residents/innoteh-solyushns/
Инсофт Инжиниринг,/residents/insoft-injiniring/
Инспекторио Бел,/residents/inspektorio-bel/
Инсспринг,/residents/insspring/
ИНСТЕРРА,/residents/insterra/
Интеграция Дистрибуция Проекты,/residents/integratsiya-distributsiya-proekty/
Интелиджент семантик системс,/residents/intelidjent-semantik-sistems/
Интелико Системс,/residents/inteliko-sistems/
Интеллектуальные городские системы,/residents/intellektualnye-gorodskie-sistemy/
Интеллектуальные системы,/residents/intellektualnye-sistemy/
Интер Тек Солюшен,/residents/inter-tek-solyushen/
ИНТЕРМЕХ,/residents/intermeh/
Интетикс Бел,/residents/intetiks-bel/
Интрахеалс М,/residents/intraheals-m/
ИнтэксСофт,/residents/intekssoft/
Инфобрейн Бел,/residents/infobreyn-bel/
Информационные порталы и сервисы,/residents/informacionnye-portaly-i-servisy/
Информационный центр Минэкономики,/residents/informatsionnyy-tsentr-ministerstva-ekonomiki-respubliki-belarus-respubliki-belarus/
Инэвейт Юроп,/residents/ineveyt-yurop/
Иридесэнт Студио,/residents/iridesent-studio/
Исида-Информатика,/residents/isida-informatika/
Испаер Системс ЛТД,/residents/ispaer-sistems-ltd/
Итач-софт,/residents/itach-soft/
Итранзишэн,/residents/itranzishen/
ИТС Партнёр,/residents/its-partner/
ИТТАС,/residents/ittas/
Йомико,/residents/yomiko/
Йондер Медиа Мобайл БиУай,/residents/yonder-media-mobayl-biuay/
Кажигульни,/residents/kazhigulni/
Кайриба Инжиниринг,/residents/kayriba-injiniring/
Какаду Девелопмент,/residents/kakadu-development/
КактусСофт,/residents/kaktussoft/
Каноэ,/residents/kanoe/
Капитан Шоу,/residents/kapitan-shou/
КаргоТрансКонсалт,/residents/kargotranskonsalt/
Кариид,/residents/kariid/
Касея БЛР,/residents/kaseya-blr/
Каспи Софтер,/residents/cuspysoftware/
Кастомгеймзстудио,/residents/kastomgeymzstudio/
Кастомертаймс,/residents/kastomertayms/
КБСТ,/residents/kbst/
Кватек,/residents/kvatek/
КейТуБи,/residents/keytubi/
Кернеликс,/residents/kerneliks/
Кибертон,/residents/tsifrovaya-farmakologiya/
Киндерсонг,/residents/kindersong/
Кино-мо Текнолоджис,/residents/kino-mo-teknolodjis/
КИПФОРЕСТ,/residents/kipforest/
КлеверДев Софтваре,/residents/kleverdev-softvare/
Клик Медиа,/residents/klik-media/
Клика Тек,/residents/klika-tech/
Клэвэтура,/residents/klevetura/
КМ Лаб,/residents/km-lab/
Когнитек,/residents/kognitek/
Код Инспирэйшн Про,/residents/kod-inspireyshn-pro/
КОДИВЕНТ,/residents/kodevent/
Кодинга,/residents/kodinga/
Колада Технолоджис,/residents/kolada-tekhnolodzhis/
КометаРад,/residents/kometarad/
КОМПАК,/residents/kompak/
Компания UMCO,/residents/kompaniya-umco/
"Компания Электронных Платежей ""АССИСТ""",/residents/kompaniya-elektronnykh-platezhey-assist/
КомплИТех,/residents/kompliteh/
КонсенсусЛаб,/residents/konsensuslab/
Конструкторское бюро системного программирования,/residents/konstruktorskoe-byuro-sistemnogo-programmirovaniya/
КонтактЛайнСервис,/residents/kontaktlaynservis/
Корал Тим,/residents/koral-tim/
Корвист,/residents/korvist/
Корпитек,/residents/korpitek/
Кортлекс Бел,/residents/kortleks-bel/
Котвек,/residents/bes-innoveyshn/
КОУДКЭЙВ ПРО,/residents/koudkeyv-pro/
КОЭЛС-БЕЛ,/residents/koels-bel/
Крайнет,/residents/kraynet/
Крафт Машин,/residents/kraft-mashin/
КреативАйТи,/residents/kreytivayti/
Кредит портал бай,/residents/kredit-portal-bay/
КРЕЙТЕКС,/residents/kreyteks/
КРИПТОСОФТ,/residents/tsentr-strategicheskikh-razrabotok-kriptosoft/
КрокусАппс,/residents/krokusapps/
Крумоби,/residents/krumobi/
Курши,/residents/kurshi/
Кутрит,/residents/kutrit/
Куфар Тех,/residents/Kufar_Tech/
Кьюликс Системс,/residents/kyuliks-sistems/
КЮТТИК СОЛЮШЕНС,/residents/kyuttik-solyushens/
Лаборатории Инвенто,/residents/laboratorii-invento/
Лаборатория блоггеров,/residents/laboratoriya-bloggerov/
Лаборатория изобретений,/residents/laboratoriya-izobreteniy/
Лайфтех,/residents/layfteh/
ЛанСофт,/residents/lansoft/
Ларо аппс,/residents/laro-apps/
ЛАЦИТ,/residents/lacit/
ЛВО Интернешнл,/residents/lvo-interneshnl/
Леверекс Интернешнл,/residents/levereks-interneshnl/
ЛЕЙМИ,/residents/leymi/
ЛемеЛ Лабс,/residents/lemel-labs/
Либрасофт,/residents/librasoft/
ЛивАйти,/residents/livayti/
Ливмастер,/residents/livmaster/
Лингванекс,/residents/lingvaneks/
Линкандо,/residents/linkando/
Линкер Солюшнс,/residents/linkersolyushns/
Линкс Информационные Технологии,/residents/links-informatsionnye-tekhnologii/
Лифт БиЭлЭр,/residents/lift-bieler/
Логиклайк,/residents/logiklayk/
ЛОДЖИК ВЭЙ СОЛЮШЕНЗ,/residents/lodjik-vey-solyushenz/
Лоджик Девелопмент,/residents/lodjik-development/
ЛОППИ ПОППИ,/residents/loppi-poppi/
Лумос,/residents/lumos/
Лунас,/residents/lunas/
Луншотс,/residents/lunshots/
ЛюксСофт,/residents/lyukssoft/
Майнгольд,/residents/mayngold/
МайСтрим,/residents/maystrim/
Майфин,/residents/mayfin/
Майфорт ,/residents/mayfort-solyushens/
Мама Про Глобал,/residents/mama-pro-global/
Мамбу Геймс,/residents/mambu-geyms/
МАПСОФТ,/residents/mapsoft/
МАРКЕТ ДАТА,/residents/market-data/
Масштабные решения,/residents/masshtabnye-resheniya/
Математические Технологии,/residents/MathTech/
МБайсикл,/residents/mbaysikl/
МедиаИзмеритель,/residents/mediaizmeritel/
Медиапарк,/residents/mayti-vijn/
Медикал ЭйАй Технолоджи,/residents/medikal-eyay-tekhnolodzhi/
Международный деловой Альянс,/residents/mezhdunarodnyy-delovoy-alyans/
МЕИФ,/residents/mezhdunarodnyy-evraziyskiy-industrialnyy-fond/
Мелиус Софт,/residents/melius-soft/
Мелсофт,/residents/melsoft/
Меркелеон девелопмент,/residents/merkeleon-development/
МигСофт,/residents/migsoft/
МиСофт НВП,/residents/misoft-nvp/
Мобайл ЭйчАр,/residents/mobayl-eychar/
Мобеклс,/residents/mobekls/
Мобивайз,/residents/mobivayz/
МОБИДЖИЛИТИ,/residents/mobidzhiliti/
Мобикон-Медиа,/residents/mobikon-media/
Мобильная аналитика,/residents/mobilnaya-analitika/
Мобильный помощник,/residents/mobilnyy-pomoshchnik/
Мобирикс,/residents/mobiriks/
МОДИС Тех,/residents/modis-teh/
Морэйн,/residents/moreyn/
МРЭИД Девелопмент,/residents/mreid-development/
Мэй Плей,/residents/mey-pley/
Мэйн Плэйер,/residents/meyn-pleyer/
МэйнСофт,/residents/meynsoft/
МэпДэйта,/residents/mepdeyta/
Мэргон Инженеринг,/residents/mergon-injenering/
Н-эйбл Технолоджи,/residents/solarvindz-msp-tekhnolodzhi/
Навексофт,/residents/naveksoft/
НавирИТ,/residents/navirit/
Навынос,/residents/navynos/
Надежные программы,/residents/nadejnye-programmy/
Намвисофт,/residents/namvisoft/
НАСТОЯЩАЯ ЦИФРОВАЯ,/residents/nastoyashchaya-cifrovaya/
НАУЧСОФТ,/residents/nauchsoft/
Незабудка Софтвер,/residents/nezabudka-softver/
НЕКЛО,/residents/neklo/
Неотек Девелопмент,/residents/neotek-development/
Нескин Геймз,/residents/neskin-geymz/
Нетко Спорт,/residents/netko-sport/
НетКрэкерБел,/residents/netkrekerbel/
Нешта Медиа,/residents/neshta-media/
НитСофт,/residents/nitsoft/
НитТех,/residents/nittekh/
Новаком Групп,/residents/novakom-grupp/
Новаком Системс,/residents/novakom-sistems/
Новые цифровые технологии,/residents/novye-tsifrovye-tekhnologii/
Нойрикс,/residents/noyriks/
НОМАРИ ПРОДАКШН,/residents/nomari-prodakshn/
НОМАРИ СОФТВЕР,/residents/nomari-softver/
Норд-Софт,/residents/nord-soft/
Норс АйТи Групп,/residents/nors-ayti-grupp/
НОТА БЕНЕ-архитектс,/residents/nota-bene-arkhitekts/
НПП ТЕХНИКОН,/residents/npp-tehnikon/
НПЦ многофункциональных беспилотных комплексов,/residents/npc-mnogofunkcionalnyh-bespilotnyh-kompleksov/
НТЛаб-системы,/residents/ntlab-sistemy/
Нуга Девелопмент,/residents/nuga-development/
Нью Айти Аутсорс,/residents/nyu-ayti-autsors/
Ньюпэкс,/residents/nyupeks/
Нэкстсофт,/residents/nekstsoft/
Оазис Геймс,/residents/oazis-geyms/
Образование за границей,/residents/obrazovanie-za-granicey/
Образовательные системы,/residents/obrazovatelnye-sistemy/
ОбъектСтиль,/residents/obektstil/
Одиссеус Дата Сервисес,/residents/odisseus-data-servises/
Оз Альянс,/residents/oz-alyans/
Озитэг,/residents/oziteg/
Октонион технолоджи,/residents/oktonion-tehnolodji/
Октопус Геймс,/residents/oktopus-geyms/
ОЛЛСПОРТС,/residents/ollsports/
Омегасофтвер,/residents/omegasoftver/
Омертекс,/residents/omerteks/
Омнимо,/residents/omnimo/
ОМП Систем,/residents/omp-sistem/
Он Зэ Спот Девелопмент,/residents/on-ze-spot-development/
Онде исследования и разработки,/residents/onde-issledovaniya-i-razrabotki/
Онилаб,/residents/onilab/
Онлайн Маршрутки,/residents/onlayn-marshrutki/
Онлайн Медиа,/residents/onlayn-media/
Онлайнер Инжиниринг,/residents/onlayner-injiniring/
Онтид софт,/residents/ontid-soft/
ООО «Клевер Технолоджи»,/residents/klever-tekhnolodzhi/
ОпенМайГейм,/residents/openmaygeym/
ОПИНОВ8,/residents/opinov8/
Оплати,/residents/oplati/
ОптикСофт,/residents/optiksoft/
Оранж Процесс,/residents/oranzh-protsess/
Оранжсофт Девелопмент,/residents/oranjsoft-development/
Организационно-технологические решения,/residents/organizatsionno-tekhnologicheskie-resheniya/
ОрганикСофт,/residents/organiksoft/
Ориоль База Данных,/residents/oriol-baza-dannyh/
Орион Софт,/residents/orion-soft/
ОСМП БЕЛ,/residents/osmp-bel/
Открытый контакт,/residents/otkrytyy-kontakt/
Оулс Груп,/residents/ouls-grup/
Офтек Десижн,/residents/oftek-desizhn/
ОХИС СИСТЕМС,/residents/ohis-sistems/
Пайара Геймз,/residents/payara-geymz/
Палессит,/residents/palessit/
Паралект,/residents/paralekt/
Параметры Запуска,/residents/parametry-zapuska/
Партнерская программа,/residents/partnerskaya-programma/
Первый номер,/residents/pervyy-nomer/
Пёрпл Геймз,/residents/perpl-geymz/
Пи-консалт бай,/residents/pi-konsalt-bay/
Пиар 3 Коннект,/residents/piar-3-konnekt/
ПикселПлекс Лабс,/residents/pikselpleks-labs/
Пиксолио,/residents/piksolio/
ПитерзГарден,/residents/piterzgarden/
ПиЭйчПиДев,/residents/pieychpidev/
Платформа образования,/residents/platforma-obrazovaniya/
ПлатформИО,/residents/platformio/
Плейдей,/residents/pleydey/
Плейджендари Девелопмент,/residents/pleydjendari-development/
Плейрикс БиУай,/residents/pleyriks-biuay/
ПлейсДев,/residents/pleysdev/
ПЛЕЙФОРИЯ,/residents/pleyforiya/
Плэйтика Бел,/residents/pleytika-bel/
ПЛЮС ТДИ,/residents/plyus-tdi/
Покет Аппс,/residents/poket-apps/
Прайм Технолоджис,/residents/praym-tekhnolodzhis/
ПРАС,/residents/pras/
Предизо,/residents/predizo/
Премиум Софт,/residents/premium-soft/
Прикладные системы,/residents/prikladnye-sistemy/
ПРМ Софт,/residents/promvad-soft/
Программные компоненты ,/residents/programmnye-komponenty/
Программные решения плюс,/residents/programmnye-resheniya-plyus/
Продактив Эдж,/residents/prodaktiv-edj/
Проект Дилбай,/residents/proekt-dilbay/
Проект-М,/residents/proekt-m/
Пропеллер План,/residents/propeller-plan/
Простые программы,/residents/prostye-programmy/
Прувен,/residents/ooo-pruven/
ПСТ Лабс,/residents/pst-labs/
ПЦИ Солюшнс,/residents/ptsi-solyushns/
Р-вольвер Технолоджис,/residents/r-volver-tekhnolodzhis/
Р-НОКС,/residents/r-noks/
