name,page_link
СВОРТ,/residents/svort/
Сенсори Текнолоджис,/residents/sensori-teknolodjis/
Сивил Проджэкт,/residents/sivil-prodzhekt/
Силк АИлайнс,/residents/silk-ailayns/
СимфониАрт,/residents/simfoniart/
Синерик ЭйАй,/residents/sinerik-eyay/
Смартспел,/residents/smartspel/
Сонэйм Солюшнс,/residents/soneym-solyushns/
СофтЭксперт,/residents/softekspert/
Спайдер Технолоджиз,/residents/spayder-tekhnolodzhiz/
Спатлайт,/residents/spatlayt/
СпроАйТи,/residents/sproayti/
Станумиум,/residents/stanumium/
Стигма Софт,/residents/ooo-stigma-soft/
СтронгСофт,/residents/strongsoft/
Т2 Софт,/residents/t2-soft/
Табгрейт,/residents/tabgreyt/
ТекХайф,/residents/tekkhayf/
Терраскейл,/residents/terraskeyl/
Технологии качества,/residents/tehnologii-kachestva/
Технотон инжиниринг,/residents/tehnoton-injiniring/
Техспул,/residents/tehspul/
ТиДиАй Бел,/residents/tidiay-bel/
Триплдот бай,/residents/tripldot-bay/
Тэквайс,/residents/tekvays/
Тэксод Технолоджиз,/residents/teksod-tehnolodjiz/
Уайлд Бивер,/residents/yaild%20biver/
Умные Торговые Решения,/residents/umnye-torgovye-resheniya/
Унибелус ИТЦ,/residents/unibelus-itts/
Услуги Онлайн,/residents/uslugi-onlayn/
Файердом Бел,/residents/fayerdom-bel/
ФастСервАПП,/residents/fastservapp/
ФинБай ИТ,/residents/finbay-it/
ФинтексЛаб,/residents/fintekslab/
Фреш Лайм Софт,/residents/fresh-laym-soft/
Фрешли Дата,/residents/freshli-data/
Хайкор Геймз,/residents/khaykor-geymz/
ХелсМэй,/residents/khelsmey/
ХитСофт,/residents/khitsoft/
Центр Корпоративных Технологий,/residents/tsentr-korporativnykh-tekhnologiy/
ЦНИИТУ-ИТ,/residents/cniitu-it/
ЭвриДогги,/residents/evridoggi/
ЭйДжи Продакшн,/residents/eydji-prodakshn/
ЭйКей софт,/residents/eykey-soft/
Эйч энд Кей Софт Компани,/residents/eych-end-key-soft-kompani/
Эмит Текнолоджи,/residents/emit-teknolodzhi/
ЭппсХаб,/residents/eppskhab/
Эра защиты,/residents/era-zashchity/
ЭСКАЭР ГЕЙМС,/residents/eskaer-geyms/
